"","Point est.","Upper C.I."
"phylo.224",1.00010562772958,1.00019022916903
"phylo.447",1.00002645625867,1.00009490704027
"phylo.266",0.999991663689262,1.00001748571161
"phylo.136",0.999989644018872,1.00000295295702
"phylo.156",0.999990032564283,0.999990050666028
"phylo.144",0.999983735650557,0.999986819266002
"phylo.404",0.999984041811665,0.99998733059049
"phylo.202",0.999983665096115,0.999995152829294
"phylo.439",0.999984146983041,1.00000073174524
"phylo.366",1.00000211220261,1.00004398872716
"phylo.285",1.00000888479157,1.00003463596709
"phylo.133",1.00004826650449,1.00011623574304
"phylo.284",1.00001980278892,1.00017712901625
"phylo.512",1.00000608221107,1.00001208225254
"phylo.155",1.00003886276934,1.00005073906966
"phylo.37",1.0000003235477,1.00005715354744
"phylo.317",1.00016484231408,1.0004216948966
"phylo.143",1.00002055429734,1.0001174808541
"phylo.475",1.00002295437988,1.00003283957503
"phylo.342",1.00000433543879,1.00002809822531
"phylo.471",1.00001033328094,1.00001163157886
"phylo.264",0.999987454458625,0.999993757710362
"phylo.517",1.00000374801821,1.00008273188054
"phylo.507",0.999989794366137,0.999990948396418
"phylo.132",0.999984603461161,0.999986039752864
"phylo.39",0.999990562716997,1.00000346817809
"phylo.286",1.00000571552285,1.00005279005037
"phylo.524",1.00003028158844,1.00011707492348
"phylo.533",1.00003886339797,1.00014310496711
"phylo.333",0.999990625480758,0.999998921687097
"phylo.410",1.00003056684341,1.00005144049698
"phylo.446",0.999992601782003,1.00000517670834
"phylo.344",1.00000597333655,1.00006272382681
"phylo.406",0.999992901982166,1.00001449129295
"phylo.22",0.99998162212259,0.999982026078168
"phylo.430",1.00000956420908,1.00010513516809
"phylo.288",1.00000228225112,1.00007423683696
"phylo.511",1.00008199953876,1.00018432212148
"phylo.429",1.00000210675322,1.00001316018341
"phylo.277",1.00003367383281,1.00012621631807
"phylo.322",1.00003507000781,1.00022656961522
"phylo.262",1.00004756589786,1.00027505125261
"phylo.387",1.0000089136736,1.00010993730005
"phylo.58",0.999995438447658,1.00003881769266
"phylo.388",1.00004369488671,1.00012833486647
"phylo.158",1.00000016787644,1.00006275503666
"phylo.12",1.00001365390182,1.00002190517498
"phylo.276",0.999985591280849,1.00000760186576
"phylo.412",0.999986019931198,1.00000276533657
"phylo.411",0.999981327557597,0.999985074378423
"phylo.365",1.00003100351021,1.00003137028487
"phylo.82",1.00001687898107,1.00002458967806
"phylo.92",0.999989184080959,0.999993372186958
"phylo.370",1.00000753357144,1.00001243024832
"phylo.137",0.999997086620336,1.00001678243043
"phylo.267",1.00007410767921,1.00031077531493
"phylo.421",1.00002391676804,1.00002583017134
"phylo.237",0.999991149537389,1.00003263298523
"phylo.200",0.999988131088234,1.00001162234009
"phylo.536",0.999992045609506,1.00000806776769
"phylo.260",1.0000159597937,1.00014472507159
"phylo.537",1.00003680030319,1.0002408269019
"phylo.477",1.00003842726622,1.0002438750545
"phylo.518",1.0000367572788,1.0002338003324
"phylo.55",1.00003489069326,1.00019187440397
"phylo.358",1.0001198693277,1.00058555468776
"phylo.197",1.00001216549603,1.00008863649712
"phylo.493",1.00004229432216,1.00029280152488
"phylo.41",1.00002496697333,1.00015661250027
"phylo.40",1.00001863354397,1.00016791171326
"phylo.408",0.999985467538991,0.999987249592382
"phylo.292",0.999984766042129,0.999988331297596
"phylo.248",0.999980905280795,0.999981486096135
"phylo.1",0.999992805656957,0.999996217058551
"phylo.214",1.00006287350094,1.00024695980195
"phylo.480",1.00006327845216,1.00018258157664
"phylo.423",1.0000402251052,1.00015093030849
"phylo.247",1.000045717872,1.00017898043104
"phylo.268",1.00002925692578,1.00003483007697
"phylo.353",1.00002201873808,1.0000254515895
"phylo.211",1.00005470482843,1.0000710173134
"phylo.265",1.00004035295393,1.00007760941787
"phylo.139",1.0000821903682,1.00015666036746
"phylo.198",1.00004726450121,1.00026458546254
"phylo.396",1.00007903170386,1.00032012890995
"phylo.263",0.999981126420548,0.999981159234835
"phylo.95",1.00001866714612,1.00011921618058
"phylo.162",1.00000192519773,1.00004412730469
"phylo.515",1.00001045113807,1.00013295845616
"phylo.282",0.999990284316778,1.00001261538107
"phylo.427",0.999993094661829,1.00000029699794
"phylo.240",0.999988170478712,1.00000859601081
"phylo.166",1.00002775913753,1.0000322627033
"phylo.182",0.999992735532518,1.00004324365876
"phylo.532",0.999983881970934,0.999999426986674
"phylo.273",1.00002237956425,1.00015019619292
"phylo.119",1.00004445699651,1.00006413050563
"phylo.355",1.0000184139307,1.00007682789755
"phylo.241",0.999986702133766,1.00000564832295
"phylo.203",1.00002713715986,1.00021670208106
"phylo.121",1.00005426033111,1.00007196343081
"phylo.305",0.999988102690329,1.00001552559166
"phylo.534",1.00002488152677,1.00019812704334
"phylo.167",0.999986461682683,1.00000986415467
"phylo.336",1.00003403784283,1.00023423270339
"phylo.188",1.00004698758844,1.00023000227514
"phylo.274",1.00006307241529,1.00008795804381
"phylo.281",1.00010923473432,1.00013365517009
"phylo.89",1.00002099238303,1.00016029313021
"phylo.531",1.00007013402653,1.00007352101666
"phylo.164",0.999993622007977,1.00003725574906
"phylo.382",1.000011831511,1.00007549379587
"phylo.192",0.999993155773224,1.00001221952773
"phylo.301",1.00001403229409,1.00006663116203
"phylo.506",0.999992732033656,1.00003666172586
"phylo.334",1.00001794172748,1.00005510354522
"phylo.469",1.00004729370415,1.00005351838677
"phylo.2",0.999985760293925,0.999994723449545
"phylo.470",1.00007013647564,1.00007747445941
"phylo.351",1.00016632457342,1.00042349474775
"phylo.31",1.00008462922759,1.0002931687285
"phylo.159",1.00018444786266,1.00047510614992
"phylo.187",1.0000555464277,1.00006199106633
"phylo.488",1.00010166288966,1.00017487778505
"phylo.486",1.00009814997333,1.00018889521617
"phylo.225",1.00011574381079,1.0002396639055
"phylo.32",1.0000658858571,1.00006638255989
"phylo.541",1.00002825663767,1.00016963310081
"phylo.380",1.00018548958848,1.00018962006545
"phylo.462",1.00017688764151,1.00018312444217
"phylo.451",1.00016456510359,1.00017528070174
"phylo.403",1.00004426492956,1.00027231537254
"phylo.115",1.00005141803504,1.0002635574641
"phylo.250",1.00014688310333,1.00063148234621
"phylo.93",1.0000399119567,1.0002590443297
"phylo.230",1.00005787420575,1.00036410761912
"phylo.457",1.00007461033573,1.00025989341585
"phylo.313",1.00004184157419,1.00027949195486
"phylo.331",1.00003334135126,1.0000385158515
"phylo.176",1.00000425849225,1.00006162876709
"phylo.75",1.00005968461693,1.00014605344064
"phylo.296",1.00002907557771,1.00019616335909
"phylo.205",1.00015795337784,1.00058348583847
"phylo.256",1.00018843437995,1.00093697850027
"phylo.487",1.00007195563021,1.00038321985635
"phylo.347",1.00016603287226,1.0006314149793
"phylo.442",1.0000896541178,1.00049675635663
"phylo.495",1.00009498430827,1.00051860445552
"phylo.116",1.00006975768615,1.00037822744539
"phylo.233",1.00017295413297,1.00072331373477
"phylo.539",1.00007757805225,1.00046500159777
"phylo.83",1.00005655056126,1.00026671628816
"phylo.444",1.00043129281289,1.00177177312673
"phylo.508",1.00003189428922,1.00024017774878
"phylo.33",0.999993075058863,1.00003773789873
"phylo.142",1.0001166999749,1.00029639051703
"phylo.311",1.00006910653613,1.00040577140082
"phylo.386",1.00004756518262,1.00023309622398
"phylo.135",1.00000006860642,1.00008060967154
"phylo.19",1.00013810249781,1.00058708881068
"phylo.59",1.00000271291096,1.00009322825729
"phylo.287",1.00000134954913,1.00008474168005
"phylo.375",1.00011078073631,1.00016528620748
"phylo.490",1.00009971302097,1.00015880714407
"phylo.448",1.00008527666955,1.00014871491546
"phylo.10",1.0001118661003,1.00023956321734
"phylo.399",1.00011835373261,1.00019808635129
"phylo.466",1.00018868615798,1.00029721599124
"phylo.310",1.00015933475459,1.00041206127734
"phylo.543",1.00015800537055,1.00031471868088
"phylo.504",1.0001845883436,1.0003158139339
"phylo.174",1.00013395137133,1.00021617147667
"phylo.499",1.00013575159191,1.00015804764949
"phylo.126",1.0001031422847,1.00017762094299
"phylo.413",1.00008075475586,1.00015513728188
"phylo.125",1.00004951339053,1.00007496137118
"phylo.201",1.00010751897341,1.00011118074529
"phylo.513",0.999982669766932,0.999987004627048
"phylo.69",0.999981633187526,0.999985522110145
"phylo.340",0.999985848714675,0.999990472094374
"phylo.179",0.999981976719788,0.999985557985789
"phylo.25",0.999984453884426,0.999988490732929
"phylo.436",1.00000376894002,1.00001164075314
"phylo.546",1.0001097340246,1.00011116438281
"phylo.279",1.00000211880242,1.00000600252425
"phylo.485",1.0000284464295,1.00005733363131
"phylo.38",1.00002079082909,1.00003679717398
"phylo.422",1.00002767246305,1.00016361645665
"phylo.229",1.00000886903095,1.00000888019416
"phylo.35",0.999981709809023,0.999985172051829
"phylo.131",1.00002055152603,1.00017601228845
"phylo.71",1.00011052817841,1.00055617979199
"phylo.6",1.00003602074444,1.0002605504853
"phylo.401",1.00024541391602,1.00035158685155
"phylo.222",1.00001613308964,1.00008421283555
"phylo.243",1.00010517393533,1.00053179698761
"phylo.42",0.999982798602044,0.999993525361309
"phylo.63",1.00003622618023,1.0000869275408
"phylo.18",0.999998106048529,1.00001236439887
"phylo.123",1.0000019837077,1.00003644713467
"phylo.140",1.00006810386668,1.00034667331351
"phylo.502",1.000063560199,1.00028272099114
"phylo.503",1.00009798735468,1.00033768162072
"phylo.341",1.00001574001123,1.00001872365029
"phylo.238",1.00001044309536,1.00004656587685
"phylo.478",1.00006310349452,1.00033866028069
"phylo.443",1.00003369465108,1.00017174589224
"phylo.44",1.00014631572796,1.00061367046537
"phylo.544",1.00001155416497,1.00012729641101
"phylo.204",1.00002377167828,1.00018949613612
"phylo.510",1.00002852730453,1.00016116415889
"phylo.314",1.00002354339452,1.00017188845581
"phylo.124",1.00001970385672,1.00010049116027
"phylo.64",1.00011341352801,1.00064801750615
"phylo.219",1.0000473901625,1.00020337360613
"phylo.178",1.00013314003575,1.00052469278666
"phylo.345",1.00004839044253,1.00031346555333
"phylo.479",1.0000110695279,1.00001147555817
